Num1,Num2,Num3,Num4,Num5,Score
3,12,18,21,38,131
3,12,18,27,38,131
3,12,19,29,38,131
3,12,19,35,38,131
3,12,21,27,38,131
3,12,21,38,40,131
3,12,22,29,38,131
3,12,22,35,38,131
3,12,27,38,40,131
3,12,29,30,32,131
3,12,29,36,38,131
3,12,30,32,35,131
3,12,35,36,38,131
3,29,30,32,38,131
3,30,32,35,38,131
4,11,12,29,38,131
4,11,12,35,38,131
5,12,29,30,38,131
5,12,29,32,38,131
5,12,30,35,38,131
5,12,32,35,38,131
9,11,12,14,38,131
9,11,12,29,38,131
9,11,12,35,38,131
9,12,21,30,38,131
9,12,21,32,38,131
9,12,27,30,38,131
9,12,27,32,38,131
11,12,14,19,38,131
11,12,18,21,38,131
11,12,18,27,38,131
11,12,19,29,38,131
11,12,19,35,38,131
11,12,21,27,38,131
11,12,21,38,40,131
11,12,22,29,38,131
11,12,22,35,38,131
11,12,27,38,40,131
11,12,29,30,32,131
11,12,29,36,38,131
11,12,30,32,35,131
11,12,35,36,38,131
11,29,30,32,38,131
12,14,21,29,38,131
12,14,21,35,38,131
12,14,27,29,38,131
12,14,27,35,38,131
12,18,29,35,38,131
12,19,21,30,38,131
12,19,21,32,38,131
12,19,27,30,38,131
12,19,27,32,38,131
12,21,29,35,38,131
3,4,12,27,38,130
3,5,12,29,38,130
3,5,12,35,38,130
3,9,12,18,38,130
3,9,12,21,38,130
3,9,12,27,38,130
3,9,12,38,40,130
3,10,12,21,38,130
3,10,12,27,38,130
3,11,12,29,30,130
3,11,12,29,32,130
3,11,12,30,35,130
3,11,12,32,35,130
3,11,14,30,38,130
3,11,14,32,38,130
3,11,29,30,38,130
3,11,29,32,38,130
3,11,30,35,38,130
3,11,32,35,38,130
3,12,14,38,39,130
3,12,18,19,38,130
3,12,19,21,38,130
3,12,19,27,38,130
3,12,19,38,40,130
3,12,21,22,38,130
3,12,21,30,32,130
3,12,21,36,38,130
3,12,22,27,38,130
3,12,27,30,32,130
3,12,27,36,38,130
3,12,29,38,39,130
3,12,35,38,39,130
3,21,30,32,38,130
3,27,30,32,38,130
4,11,12,21,38,130
4,11,12,27,38,130
4,12,29,35,38,130
5,11,12,14,38,130
5,11,12,29,38,130
5,11,12,35,38,130
5,12,21,30,38,130
5,12,21,32,38,130
5,12,27,30,38,130
5,12,27,32,38,130
9,11,12,18,38,130
9,11,12,21,38,130
9,11,12,27,38,130
9,11,12,38,40,130
9,12,14,29,38,130
9,12,14,35,38,130
9,12,19,30,38,130
9,12,19,32,38,130
9,12,29,35,38,130
10,12,29,35,38,130
11,12,14,38,39,130
11,12,18,19,38,130
11,12,19,21,38,130
11,12,19,27,38,130
11,12,19,38,40,130
11,12,21,22,38,130
11,12,21,30,32,130
11,12,21,36,38,130
11,12,22,27,38,130
11,12,27,30,32,130
11,12,27,36,38,130
11,12,29,38,39,130
11,12,35,38,39,130
11,21,30,32,38,130
11,27,30,32,38,130
12,14,19,29,38,130
12,14,19,35,38,130
12,14,21,27,38,130
12,18,21,29,38,130
12,18,21,35,38,130
12,18,27,29,38,130
12,18,27,35,38,130
12,19,29,35,38,130
12,21,27,29,38,130
12,21,27,35,38,130
12,21,29,38,40,130
12,21,30,38,39,130
12,22,29,35,38,130
12,29,30,32,35,130
3,5,12,27,38,129
3,5,12,38,40,129
3,9,12,19,38,129
3,9,12,22,38,129
3,9,12,30,32,129
3,9,12,36,38,129
3,9,30,32,38,129
3,10,12,19,38,129
3,11,12,27,30,129
3,11,12,27,32,129
3,11,12,30,40,129
3,11,12,32,40,129
3,11,18,30,38,129
3,11,18,32,38,129
3,11,21,30,38,129
3,11,21,32,38,129
3,11,27,30,38,129
3,11,27,32,38,129
3,11,30,38,40,129
3,11,32,38,40,129
3,12,14,29,30,129
3,12,14,29,32,129
3,12,14,30,35,129
3,12,14,32,35,129
3,12,18,38,39,129
3,12,19,22,38,129
3,12,19,30,32,129
3,12,19,36,38,129
3,12,21,38,39,129
3,12,27,38,39,129
3,12,29,30,35,129
3,12,29,32,35,129
3,14,29,30,38,129
3,14,29,32,38,129
3,14,30,35,38,129
3,14,32,35,38,129
3,19,30,32,38,129
3,29,30,35,38,129
3,29,32,35,38,129
4,11,12,19,38,129
4,12,21,29,38,129
4,12,21,35,38,129
4,12,27,29,38,129
4,12,27,35,38,129
5,9,12,30,38,129
5,9,12,32,38,129
5,11,12,18,38,129
5,11,12,21,38,129
5,11,12,27,38,129
5,11,12,38,40,129
5,12,14,29,38,129
5,12,14,35,38,129
5,12,19,30,38,129
5,12,19,32,38,129
5,12,29,35,38,129
9,11,12,19,38,129
9,11,12,22,38,129
9,11,12,30,32,129
9,11,12,36,38,129
9,11,30,32,38,129
9,12,14,21,38,129
9,12,14,27,38,129
9,12,18,29,38,129
9,12,18,35,38,129
9,12,21,29,38,129
9,12,21,35,38,129
