Date,Number1,Number2,Number3,Number4,Number5
"01
04
12
41
47
03
POWER PLAY X04",5,1,"$54,000,000",0*,$0
"12
20
28
40
48
08
POWER PLAY X02",5,1,"$40,000,000",0*,$0
"02
23
31
42
48
21
POWER PLAY X02",5,1,"$25,000,000",0*,$0
"07
31
50
51
58
06
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"04
13
17
21
45
10
POWER PLAY X05",5,1,"$184,000,000",1*,"$184,000,000"
"29
32
36
39
49
29
POWER PLAY X03",5,1,"$155,000,000",0*,$0
"03
12
34
37
42
36
POWER PLAY X05",5,1,"$126,000,000",0*,$0
"09
13
21
23
48
24
POWER PLAY X02",5,1,"$101,000,000",0*,$0
"11
32
36
48
52
19
POWER PLAY X04",5,1,"$82,000,000",0*,$0
"07
11
39
42
51
30
POWER PLAY X04",5,1,"$63,000,000",0*,$0
"15
37
41
56
59
05
POWER PLAY X05",5,1,"$50,000,000",0*,$0
"03
14
33
53
57
36
POWER PLAY X04",5,1,"$35,000,000",0*,$0
"24
28
45
49
52
02
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"04
05
36
47
58
06
POWER PLAY X03",5,1,"$20,000,000",0*,$0
"30
31
34
45
51
23
POWER PLAY X02",5,1,"$118,000,000",1*,"$118,000,000"
"22
36
51
56
59
32
POWER PLAY X03",5,1,"$96,000,000",0*,$0
"09
13
22
23
37
31
POWER PLAY X03",5,1,"$82,000,000",0*,$0
"19
21
23
40
48
27
POWER PLAY X04",5,1,"$67,000,000",0*,$0
"06
07
26
33
52
24
POWER PLAY X02",5,1,"$51,000,000",0*,$0
"22
26
32
38
40
07
POWER PLAY X05",5,1,"$34,000,000",0*,$0
"18
22
37
47
54
36
POWER PLAY X02",5,1,"$25,000,000",0*,$0
"36
46
50
52
55
14",5,1,"$40,000,000",0*,$0
"11
13
23
43
54
04",5,1,"$50,000,000",1*,"$50,000,000"
"01
18
35
39
44
11",5,1,"$40,000,000",0*,$0
"05
08
20
23
30
03",5,1,"$50,000,000",1*,"$50,000,000"
"15
23
40
44
55
14",5,1,"$40,000,000",0*,$0
"08
10
25
36
44
28",5,1,"$50,000,000",1*,"$50,000,000"
"07
23
26
40
53
21",5,1,"$40,000,000",0*,$0
"13
17
19
27
38
12",5,1,"$50,000,000",0*,$0
"03
10
19
36
46
03",5,1,"$40,000,000",0*,$0
"05
16
22
23
29
06",5,1,"$550,000,000",2*,"$550,000,000"
"22
32
37
44
50
34",5,1,"$325,000,000",0*,$0
"08
18
24
30
39
26",5,1,"$250,000,000",0*,$0
